datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1bar,logret_1bar,range,true_range,atr_14,vol_30,ret_1d,logret_1d,AdrActCnt,CapMVRVCur
2017-09-16T00:00:00Z,255.99,271.81,235.51,249.31,10362.06011,2647152.3723708,8859,3866.60141,995005.3267045,-0.0145849802371541,-0.0146923866880053,0.1434782608695652,36.30000000000001,47.01571428571429,1.4755156824610425,-0.0145849802371541,-0.0146923866880053,172971.0,1.43783212
2017-09-17T00:00:00Z,249.32,264.39,239.02,257.55,4614.53337,1149704.2949294,5277,1442.00382,360268.4738608,0.0330512213709839,0.0325167739720795,0.1017608599735268,25.369999999999976,45.45642857142856,1.478343462669832,0.0330512213709839,0.0325167739720795,151929.0,1.46051587
2017-09-18T00:00:00Z,257.53,306.22,257.11,294.57,4125.97051,1182937.633574,3440,2342.68408,669740.5214988,0.1437390797903319,0.1343027898377142,0.1906814210832848,49.110000000000014,43.492142857142845,1.561879168565756,0.1437390797903319,0.1343027898377142,191107.0,1.65248977
2017-09-19T00:00:00Z,296.0,300.0,277.41,284.0,1869.90852,535773.5652001,1896,789.82937,226839.7065421,-0.0358828122347828,-0.0365424276881025,0.0766880537732965,22.58999999999997,38.965,1.565272484391253,-0.0358828122347828,-0.0365424276881025,174538.0,1.58850028
2017-09-20T00:00:00Z,284.01,294.0,275.91,282.0,1060.56734,302739.7337531,1431,566.64637,162290.4185872,-0.0070422535211267,-0.0070671672230924,0.0636971830985914,18.08999999999997,38.52499999999999,1.5390865577578554,-0.0070422535211267,-0.0070671672230924,182509.0,1.5862306
2017-09-21T00:00:00Z,285.1,287.0,252.1,257.0,1912.55583,516193.1970608,2751,579.77742,156157.9954675,-0.0886524822695035,-0.0928309860428937,0.1237588652482269,34.900000000000006,39.42285714285714,1.5631236771625237,-0.0886524822695035,-0.0928309860428937,174750.0,1.45295452
2017-09-22T00:00:00Z,258.0,272.97,253.01,264.0,1464.5125,382962.217943,2144,612.61937,160401.2878139,0.027237354085603,0.0268730182510958,0.0776653696498055,19.96000000000004,36.34142857142857,1.5648053969347513,0.027237354085603,0.0268730182510958,131621.0,1.48147829
2017-09-23T00:00:00Z,259.99,286.23,255.11,285.93,2824.33572,788810.3244239,3901,841.43467,233418.256899,0.0830681818181817,0.0797979224713278,0.1178787878787879,31.120000000000005,36.75428571428572,1.5907163040917498,0.0830681818181817,0.0797979224713278,131179.0,1.59268902
2017-09-24T00:00:00Z,286.5,294.61,275.0,282.0,5575.54422,1582877.4871329,8022,1314.52754,373569.556758,-0.0137446228097786,-0.01383995467953,0.0685832196691498,19.610000000000014,35.17285714285715,1.5907008895796066,-0.0137446228097786,-0.01383995467953,132444.0,1.58676283
2017-09-25T00:00:00Z,282.0,299.0,281.34,294.42,5870.48035,1705551.9921018,9165,1950.58866,567363.4490881,0.0440425531914894,0.0431002483917533,0.0626241134751773,17.660000000000025,35.02214285714285,1.598132413994825,0.0440425531914894,0.0431002483917533,147862.0,1.63706975
