datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1bar,logret_1bar,range,true_range,atr_14,vol_30,ret_1d,logret_1d,AdrActCnt,CapMVRVCur
2017-09-16T00:00:00Z,3674.01,3950.0,3470.66,3714.95,1297.563953,4804878.24721283,8809,624.887842,2314536.03271908,0.0040405405405405,0.0040323994787687,0.1295513513513514,479.34000000000015,524.095,1.1514162704738398,0.0040405405405405,0.0040323994787687,637532.0,2.26588756
2017-09-17T00:00:00Z,3685.23,3748.21,3499.02,3699.99,682.17121,2466490.27859466,6355,273.931976,994843.63045949,-0.0040269720992207,-0.0040351021851243,0.0670776188104819,249.19000000000003,512.1492857142857,1.1431207750440495,-0.0040269720992207,-0.0040351021851243,582453.0,2.26478555
2017-09-18T00:00:00Z,3690.0,4123.2,3690.0,4035.01,1030.006455,4069033.05715863,8220,417.638722,1651863.37125876,0.0905461906653803,0.0866786630897635,0.1170813975172905,433.1999999999998,503.45071428571424,1.1873576721560353,0.0905461906653803,0.0866786630897635,694432.0,2.47915064
2017-09-19T00:00:00Z,4060.0,4089.97,3830.91,3910.04,902.332129,3558315.19743872,7342,257.320352,1016803.88177532,-0.0309714226234879,-0.0314611759096123,0.0642030626937727,259.05999999999995,458.9557142857143,1.191689262098537,-0.0309714226234879,-0.0314611759096123,784159.0,2.38109715
2017-09-20T00:00:00Z,3910.04,4046.08,3820.0,3900.0,720.935076,2839584.45308804,7231,395.275138,1562210.14983916,-0.0025677486675328,-0.002571050988374,0.0578203803541651,226.07999999999996,451.7035714285715,1.1900501253530091,-0.0025677486675328,-0.002571050988374,619406.0,2.3596557
2017-09-21T00:00:00Z,3889.99,3910.0,3567.0,3609.99,1001.654084,3757043.07821264,8714,517.258926,1946238.63873747,-0.0743615384615384,-0.0772715508777501,0.0879487179487179,343.0,451.17500000000007,1.218439790112579,-0.0743615384615384,-0.0772715508777501,684987.0,2.19309389
2017-09-22T00:00:00Z,3592.84,3750.0,3505.55,3595.87,838.966425,3031771.43292849,8152,511.059869,1848104.61254174,-0.003911368175535,-0.0039190375811486,0.0677148690162576,244.44999999999985,418.1742857142857,1.2163034530904704,-0.003911368175535,-0.0039190375811486,642171.0,2.19168978
2017-09-23T00:00:00Z,3595.88,3817.19,3542.91,3780.0,752.792791,2799706.99951511,8402,431.94671,1608679.14327472,0.0512059668452975,0.0499380449547945,0.076276394864108,274.2800000000002,418.01142857142855,1.2174484694181262,0.0512059668452975,0.0499380449547945,571954.0,2.28253357
2017-09-24T00:00:00Z,3779.54,3789.99,3622.76,3660.02,661.63639,2445788.43620041,8724,290.93917,1077964.32638088,-0.0317407407407407,-0.0322553977522765,0.0442407407407406,167.22999999999956,395.5278571428571,1.2216247565710534,-0.0317407407407407,-0.0322553977522765,549507.0,2.22242941
2017-09-25T00:00:00Z,3660.02,3979.87,3653.69,3920.75,727.994713,2784170.85318322,9740,298.839159,1144089.17964881,0.0712373156430838,0.0688143501531772,0.0891197315861661,326.17999999999984,402.0035714285714,1.2478989041563664,0.0712373156430838,0.0688143501531772,655510.0,2.34287282
