datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1bar,logret_1bar,range,true_range,atr_14,vol_30,ret_1d,logret_1d,AdrActCnt,CapMVRVCur
2019-09-06T00:00:00Z,0.0024897,0.0025054,0.0024,0.00247,81836503.0,201290.7073895,1064,34315321.0,84311.476395,-0.0083905415713195,-0.0084259403140718,0.0423140230438798,0.0001054,0.0001003428571428,0.4206397362662704,-0.0083905415713195,-0.0084259403140718,41128.0,0.89570784
2019-09-07T00:00:00Z,0.0024504,0.002507,0.0024029,0.0024542,79415288.0,194294.9956682,1016,42597153.0,104308.5844456,-0.0063967611336032,-0.006417308079575,0.0421457489878543,0.0001041,9.964999999999996e-05,0.4206141340700515,-0.0063967611336032,-0.006417308079575,42399.0,0.90916302
2019-09-08T00:00:00Z,0.002465,0.0025306,0.0024,0.0024585,89538969.0,221365.3086316,1243,47136134.0,117036.676376,0.0017520984434846,0.0017505653095462,0.0532148969114172,0.0001306,0.0001029785714285,0.4195297962094602,0.0017520984434846,0.0017505653095462,41557.0,0.90957789
2019-09-09T00:00:00Z,0.0024453,0.0024692,0.0024,0.0024351,61000344.0,148246.672559,749,26396847.0,64194.4023711,-0.0095179987797437,-0.009563584416754,0.0281472442546268,6.920000000000016e-05,9.994285714285717e-05,0.4157457925466711,-0.0095179987797437,-0.009563584416754,41089.0,0.88977692
2019-09-10T00:00:00Z,0.0024351,0.0024612,0.0023849,0.0024185,33219768.0,80278.7880638,576,8802499.0,21371.822714,-0.0068169685023201,-0.0068403101722021,0.0313334154654839,7.630000000000007e-05,0.0001007785714285,0.4105906812607457,-0.0068169685023201,-0.0068403101722021,56157.0,0.88316993
2019-09-11T00:00:00Z,0.0024193,0.0024386,0.0023601,0.0023892,52887165.0,126276.4375278,822,23445260.0,56106.4879151,-0.0121149472813727,-0.0121889314048866,0.0324581352077734,7.850000000000001e-05,9.751428571428578e-05,0.4105333115722651,-0.0121149472813727,-0.0121889314048866,42303.0,0.87627786
2019-09-12T00:00:00Z,0.0023912,0.002431,0.0023265,0.0023928,48542765.0,114902.0050849,836,28548489.0,67698.0950077,0.0015067805123052,0.0015056464575868,0.0437384898710865,0.0001044999999999,9.372857142857147e-05,0.411284236526255,0.0015067805123052,0.0015056464575868,41705.0,0.89917981
2019-09-13T00:00:00Z,0.0023906,0.0024128,0.00236,0.002399,35317492.0,84321.8782152,489,20415640.0,48776.4000814,0.0025911066532933,0.0025877555239564,0.0220661985957873,5.279999999999998e-05,8.99285714285715e-05,0.3907372202370821,0.0025911066532933,0.0025877555239564,41979.0,0.89556249
2019-09-14T00:00:00Z,0.0024089,0.002437,0.0023701,0.0024192,33725888.0,80951.362747,592,17475943.0,41983.4141298,0.0084201750729469,0.0083849231455195,0.0278866194247602,6.689999999999995e-05,8.927857142857149e-05,0.3622878421507816,0.0084201750729469,0.0083849231455195,41670.0,0.90515119
2019-09-15T00:00:00Z,0.0024233,0.0024851,0.00239,0.002426,68647235.0,168207.4389437,959,35335324.0,86692.3643848,0.0028108465608467,0.0028069035187812,0.0393105158730158,9.509999999999989e-05,9.077142857142862e-05,0.3514221934865771,0.0028108465608467,0.0028069035187812,43127.0,0.87476385
