datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1d,logret_1d,range,true_range,atr_14,vol_30,funding_rate_day_sum
2020-01-31 00:00:00+00:00,9525.67,9550.72,9220.0,9364.51,146644.026,1373298967.87264,266727,70753.403,662550732.90456,-0.016918494972007148,-0.017063247696412986,0.03471881767896635,330.71999999999935,344.2257142857143,0.5935230195228395,0.00170563
2020-02-01 00:00:00+00:00,9364.5,9477.76,9306.0,9392.74,109040.285,1024210862.88076,229569,54324.089,510351956.10423,0.0030145731063344616,0.00301003839202707,0.01834158968274904,171.76000000000022,343.7085714285714,0.5744851789126533,0.0018971
2020-02-02 00:00:00+00:00,9392.99,9489.92,9160.01,9338.2,148402.977,1391948766.66181,285872,72902.026,684047981.73101,-0.005806612341020756,-0.0058235362600171925,0.03512393614642797,329.90999999999985,312.67428571428576,0.5544215397532865,0.00128703
2020-02-03 00:00:00+00:00,9340.49,9647.61,9250.0,9300.64,159049.385,1491076833.73277,313233,79180.283,742527413.92745,-0.004022188430318652,-0.004030299186167596,0.04257886958942843,397.6100000000006,325.05285714285714,0.5555826716397128,0.00106539
2020-02-04 00:00:00+00:00,9300.63,9368.0,9105.0,9198.35,147843.902,1363688333.14538,282503,71776.668,662220645.49289,-0.01099816786801755,-0.011059094851551876,0.02827762390545167,263.0,319.44571428571425,0.5590435008483085,0.00191924
2020-02-05 00:00:00+00:00,9198.32,9799.08,9179.88,9630.0,212311.697,2014987376.43659,387332,111557.886,1058639964.75721,0.04692689449738263,0.045859105665870814,0.06731642087983178,619.2000000000007,346.9492857142858,0.5513483606440077,0.00072631
2020-02-06 00:00:00+00:00,9630.0,9884.0,9550.0,9778.12,200556.367,1950865328.54665,366953,98843.932,961671262.21633,0.015381100726895136,0.01526401071946637,0.034683281412253374,334.0,344.52071428571435,0.5297245525702173,0.00297988
2020-02-07 00:00:00+00:00,9777.97,9900.0,9736.66,9821.52,129740.767,1272175090.89561,244078,63763.916,625379176.99655,0.004438481016800777,0.004428660009446972,0.016704642610235926,163.34000000000015,336.1164285714286,0.525892707123239,0.0008996
2020-02-08 00:00:00+00:00,9821.52,9956.0,9680.55,9906.43,129267.269,1270369231.27298,238583,65282.12,641725121.85347,0.008645301338285671,0.008608144720531286,0.028045557103177587,275.4500000000007,342.72000000000014,0.5087590501935741,0.00202088
2020-02-09 00:00:00+00:00,9906.09,10184.34,9892.15,10167.38,143407.013,1446593331.85639,270733,72981.764,736106490.59704,0.026341477202180608,0.026000515158829174,0.029494984570627412,292.1900000000005,340.4157142857144,0.4910356498461955,0.00238271
2020-02-10 00:00:00+00:00,10167.37,10213.56,9750.0,9865.56,184242.737,1831546625.42966,333889,89129.888,885869924.25138,-0.02968513028921904,-0.03013465220921141,0.0455928665988681,463.5599999999995,341.3500000000001,0.49698547917910463,0.00329673
2020-02-11 00:00:00+00:00,9865.56,10409.96,9729.36,10229.06,190119.815,1906183204.95577,381836,98272.116,985932564.88324,0.03684534887021118,0.036182784924589484,0.06898746751324797,680.5999999999985,352.0314285714286,0.5055987078343407,0.00158906
2020-02-12 00:00:00+00:00,10230.74,10479.98,10229.71,10339.99,159674.258,1650500848.23864,336615,80738.924,834714299.73591,0.010844593735885866,0.010786212828140407,0.024466568775625565,250.92000000000007,354.3457142857143,0.5020329538445696,0.00511939
2020-02-13 00:00:00+00:00,10339.64,10540.0,10101.0,10239.63,213052.717,2192034973.13267,454247,101980.087,1049813429.9959,-0.009706005518380634,-0.00975341581577105,0.04245652075098719,439.0,357.94714285714286,0.4159517480914467,0.0024837
2020-02-14 00:00:00+00:00,10240.02,10390.0,10123.37,10356.82,130975.746,1345001966.03801,267110,67096.628,689188914.54797,0.011444749468486615,0.011379753759596767,0.026039026800773,266.6299999999992,353.3692857142857,0.416074117996535,0.00193725
2020-02-15 00:00:00+00:00,10356.27,10389.75,9752.3,9914.99,152146.127,1533600988.37217,325934,70415.864,709791351.79514,-0.04266077811529023,-0.04359748650727191,0.06154881517685938,637.4500000000007,386.6328571428572,0.4454019074709978,0.00243342
2020-02-16 00:00:00+00:00,9914.31,10060.45,9626.64,9921.86,141547.956,1398906974.55862,321449,69642.561,688533908.95615,0.0006928902601011089,0.0006926503224722325,0.04375294377503167,433.8100000000013,394.05428571428587,0.4409628179499267,0.00149022
