datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1d,logret_1d,range,true_range,atr_14,vol_30
2020-01-31 00:00:00+00:00,184.71,185.82,175.22,179.99,385596.53365,69633052.2826392,157597,182789.87905,33021337.9561111,-0.02544804808056733,-0.02577745009643273,0.05739347013915206,10.599999999999994,9.07571428571428,0.7634028887343679
2020-02-01 00:00:00+00:00,179.94,184.28,179.23,183.6,259370.12902,47263178.0667823,124149,125544.78709,22884938.0460562,0.020056669814989547,0.01985818439500253,0.02805711428412696,5.050000000000011,8.394999999999994,0.7508731060704169
2020-02-02 00:00:00+00:00,183.63,193.43,179.1,188.44,552621.13619,104105613.5587851,222425,280248.03436,52807627.8038155,0.026361655773420534,0.026020175645450117,0.07805010893246195,14.330000000000013,8.247857142857137,0.7362790484853663
2020-02-03 00:00:00+00:00,188.48,195.19,186.62,189.69,417175.95781,79336312.5246923,181726,213868.71408,40681548.2464329,0.00663341116535765,0.0066115069067915755,0.04547866694969217,8.569999999999993,8.28214285714285,0.735033429283762
2020-02-04 00:00:00+00:00,189.74,191.6,184.69,188.91,366389.69686,68720832.6152937,173353,174776.24193,32795529.6534851,-0.004111972165111499,-0.004120449569870566,0.03642785597553902,6.909999999999997,8.381428571428566,0.737175655133456
2020-02-05 00:00:00+00:00,188.91,207.61,188.19,203.78,550942.11417,108659358.5359186,241415,291264.24776,57410798.3246293,0.07871473188290734,0.07577026937737763,0.102800275263353,19.420000000000016,9.379999999999995,0.7511660486707303
2020-02-06 00:00:00+00:00,203.78,216.33,201.02,213.19,608240.2233,127874220.8146868,276196,302771.02677,63669109.1242611,0.0461772499754638,0.04514280633031209,0.07513004220237512,15.310000000000002,9.83142857142857,0.7559567081523914
2020-02-07 00:00:00+00:00,213.16,225.0,213.14,223.33,629361.15466,138524804.2175759,268274,313125.9063,68898379.2782687,0.04756320652938695,0.046466711355932055,0.05563112716356308,11.860000000000014,10.042857142857143,0.7572956867097239
2020-02-08 00:00:00+00:00,223.36,227.75,213.22,223.05,548551.87465,122069507.6551116,257281,277426.26209,61749990.2200408,-0.001253750055970948,-0.001254536658109373,0.06506067254735146,14.530000000000001,10.710714285714287,0.7480386371497009
2020-02-09 00:00:00+00:00,223.01,230.65,222.86,228.49,350336.24399,79674647.0001999,183735,172523.02255,39249445.3995473,0.02438915041470513,0.024096484126179263,0.034924904729881155,7.789999999999992,10.647857142857143,0.738140919145352
2020-02-10 00:00:00+00:00,228.53,229.4,216.37,222.89,510415.49949,113385288.9503017,232617,255575.45007,56800747.205157,-0.02450873123550279,-0.024814069482351542,0.05702656571403563,13.030000000000001,11.054285714285713,0.7428242741546417
2020-02-11 00:00:00+00:00,222.89,239.15,218.17,236.69,595576.90276,135863928.6243058,250241,309901.3087,70710866.2284784,0.06191394858450372,0.06007289183861797,0.09412714792049899,20.980000000000018,12.112142857142858,0.7588688426753505
2020-02-12 00:00:00+00:00,236.69,275.34,236.69,265.74,1038073.74782,266734296.5502973,415316,521382.12082,133916108.0162091,0.12273437830073086,0.11576711910644288,0.16329375977016342,38.64999999999998,14.507142857142858,0.8313802227823802
2020-02-13 00:00:00+00:00,265.74,277.69,256.08,268.32,1089679.1537,291533156.0916954,422008,539389.59743,144330540.7388708,0.009708737864077666,0.009661910911736626,0.0813200873033793,21.610000000000014,14.902857142857146,0.6817926145341057
2020-02-14 00:00:00+00:00,268.34,287.15,260.28,285.15,734944.32266,201120424.5832201,309022,380703.78554,104184138.4392392,0.06272361359570655,0.06083505952764856,0.10014162194394755,26.870000000000005,16.065000000000005,0.6986313022878018
2020-02-15 00:00:00+00:00,285.11,288.41,261.86,264.88,860813.14274,236287101.09867716,348934,419793.2113,115254803.5105833,-0.07108539365246358,-0.07373846436355702,0.09310889005786432,26.55000000000001,17.60071428571429,0.758567014361728
2020-02-16 00:00:00+00:00,264.91,274.0,237.41,258.85,1110118.46395,286269166.28143686,416082,526993.06165,135974874.7741805,-0.022765025672002337,-0.02302814989108004,0.13813802476593176,36.59,19.19071428571429,0.7680479030458622
2020-02-17 00:00:00+00:00,258.89,268.77,242.0,267.85,1110371.39094,280371301.75499165,417529,542125.21208,136867563.5306377,0.03476917133474977,0.03417837897905862,0.10341896851458365,26.769999999999982,20.490714285714287,0.770374364018586
2020-02-18 00:00:00+00:00,267.9,285.88,258.0,282.61,1115523.43992,304162263.306139,431799,550241.0207,150109585.6524815,0.05510546947918615,0.05364073300157468,0.10408810901624041,27.879999999999995,21.98857142857143,0.7536641280270654
2020-02-19 00:00:00+00:00,282.64,285.0,251.56,258.45,705973.72988,191887955.75834832,298048,343303.10692,93329064.5080645,-0.0854888362053714,-0.08936560368649538,0.11832560772796431,33.44,22.990000000000002,0.8347779758264459
2020-02-20 00:00:00+00:00,258.44,264.33,245.34,256.96,972969.71691,249383114.01101127,373551,494884.31858,126895480.4339393,-0.005765138324627661,-0.005781820883651534,0.07347649448636093,18.98999999999998,23.252857142857145,0.8380972223571386
2020-02-21 00:00:00+00:00,256.97,268.24,253.61,265.27,525827.8734,137848242.4279305,214306,269791.13743,70748990.1970725,0.032339663760896586,0.031827744458720275,0.0569349315068493,14.629999999999995,23.45071428571428,0.8359027957459679
2020-02-22 00:00:00+00:00,265.32,266.81,256.0,261.57,313062.52133,81781388.3193534,136810,156822.35067,40974857.939117,-0.013948052927206245,-0.014046241109284097,0.04075093301164852,10.810000000000002,23.185,0.8256115886902288
2020-02-23 00:00:00+00:00,261.55,275.68,261.02,274.48,444740.82883,120024058.9719663,178464,225478.68725,60845374.1984494,0.049355812975494295,0.04817646444236168,0.056046182666208,14.660000000000025,23.675714285714285,0.8304013529110024
2020-02-24 00:00:00+00:00,274.5,277.2,257.09,265.52,696591.72983,185949182.70858076,263161,330793.92829,88287487.1865277,-0.03264354415622284,-0.033188231138475466,0.07326581171670071,20.110000000000014,24.181428571428572,0.8423046797060074
2020-02-25 00:00:00+00:00,265.47,266.22,244.44,246.67,774791.01027,197442911.54473168,277457,381947.38852,97346482.2259515,-0.07099276890629702,-0.07363875645940698,0.08202771919252799,21.78000000000003,24.23857142857143,0.8902360680097368
2020-02-26 00:00:00+00:00,246.67,250.32,215.66,223.93,1395879.41507,324229460.6211602,454355,656347.55839,152612432.4447537,-0.09218794340617009,-0.096717907935572,0.14051161470790935,34.66,23.95357142857143,0.964185400815205
2020-02-27 00:00:00+00:00,223.98,238.3,210.0,227.79,1273793.11658,287322727.2967257,415969,627806.95842,141632481.6721453,0.017237529585138134,0.017090648876512127,0.1263787790827491,28.30000000000001,24.431428571428576,0.9611994239685201
