datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1d,logret_1d,range,true_range,atr_14,vol_30
2020-01-31 00:00:00+00:00,9511.52,9530.22,9210.01,9352.89,45552.022352,425779010.4065367,428547,22482.470899,210150300.2222744,-0.01685235582942035,-0.016995972584926022,0.033659511353160414,320.2099999999991,342.57642857142844,0.5842136687341385
2020-02-01 00:00:00+00:00,9351.71,9464.53,9281.0,9384.61,28578.067354,268137739.9933375,334972,14679.126305,137764121.89168733,0.0033914650979538497,0.003385727050131848,0.019622811772617946,183.53000000000065,342.6499999999999,0.5649246128135776
2020-02-02 00:00:00+00:00,9384.41,9477.03,9120.0,9331.51,45690.91254,428064088.6904683,446558,22588.40606,211808205.79156944,-0.005658199967819688,-0.00567426822151873,0.0380442021565095,357.03000000000065,315.7964285714285,0.5444720335776668
2020-02-03 00:00:00+00:00,9331.59,9618.79,9234.0,9292.24,50892.133451,476379993.49247247,492124,24781.397696,232065946.538542,-0.004208322125786812,-0.004217202035112777,0.04123555566033802,384.7900000000009,327.15928571428583,0.5457043135460751
2020-02-04 00:00:00+00:00,9291.35,9350.0,9093.01,9197.02,53308.175266,491136137.2107625,528930,26103.432307,240571508.2401516,-0.01024726007937804,-0.010300124704077263,0.027656410079808506,256.9899999999998,324.01571428571435,0.5489162851958126
2020-02-05 00:00:00+00:00,9197.02,9744.45,9177.22,9612.04,64870.415615,613540574.7818311,661758,35375.605202,334620486.1373669,0.04512548629882285,0.04413696079004481,0.06167541225309952,567.2300000000014,348.24642857142874,0.5400542717119373
2020-02-06 00:00:00+00:00,9612.03,9862.57,9526.35,9772.0,64949.706588,631245079.8223813,682179,32143.454647,312506614.3866245,0.016641628624100457,0.016504674065094704,0.03497904711174728,336.21999999999935,344.732142857143,0.5192646953990085
2020-02-07 00:00:00+00:00,9772.0,9885.0,9730.0,9813.73,43966.114632,430744860.1814393,582249,22733.988186,222761439.9557888,0.004270364306180774,0.004261272175808628,0.015861645517805976,155.0,335.0878571428572,0.515545270259871
2020-02-08 00:00:00+00:00,9813.87,9940.0,9667.11,9895.05,43600.843666,427781790.200816,514573,22664.381837,222438123.8466874,0.008286349838440676,0.008252206527558315,0.02780696024854968,272.8899999999994,340.55428571428575,0.498424121450443
2020-02-09 00:00:00+00:00,9895.04,10166.0,9880.75,10151.75,43408.475616,437441704.9053964,536848,22408.277327,225799470.0027466,0.025942264061323606,0.025611472320488105,0.02882754508567415,285.25,337.7528571428572,0.48137771229247484
2020-02-10 00:00:00+00:00,10151.72,10188.0,9756.0,9851.83,59573.084619,590091358.442907,690308,28618.883245,283509329.4368132,-0.02954367473588293,-0.02998887968955266,0.04255423941684931,432.0,335.39571428571435,0.48816589788673564
2020-02-11 00:00:00+00:00,9851.74,10323.59,9700.0,10223.08,62422.395224,624970415.4054741,710170,31905.31642,319373572.87250507,0.03768335426007141,0.03699068450599974,0.06329686971862082,623.5900000000001,341.5378571428572,0.49762793928912163
2020-02-12 00:00:00+00:00,10223.08,10450.0,10223.08,10326.46,61008.06393,629756037.5160786,857655,31141.8077,321525481.5414018,0.01011241230627169,0.010061623972999811,0.022196833048357255,226.92000000000007,341.08642857142866,0.4939255547153443
2020-02-13 00:00:00+00:00,10325.33,10500.0,10080.0,10229.63,79344.358759,815507473.735361,932802,38475.272548,395629173.0386233,-0.009376882300420442,-0.009421122032286178,0.04067221487324795,420.0,344.4035714285715,0.4096166095516178
2020-02-14 00:00:00+00:00,10227.78,10381.56,10111.37,10344.36,47038.480173,482455622.003626,622310,23697.005493,243079257.30551487,0.011215459405667705,0.011153032471666435,0.026412489992306536,270.1899999999987,340.83071428571435,0.40988390825666005
2020-02-15 00:00:00+00:00,10344.36,10375.0,9801.0,9904.72,57657.202947,580845331.1747848,739781,26758.580323,269731775.5031557,-0.04250045435387029,-0.04343003244846244,0.055489174777366604,574.0,368.7214285714286,0.4393165608513063
2020-02-16 00:00:00+00:00,9904.46,10050.0,9638.12,9917.27,60023.999537,592584876.9040861,708070,29406.136839,290482773.25193715,0.0012670726683845501,0.001266270609251663,0.04158421439475313,411.8799999999992,372.6392857142856,0.43477036372866157
2020-02-17 00:00:00+00:00,9910.7,9964.16,9452.67,9706.0,70261.011901,680009637.6159953,778058,33221.839241,321724146.0973481,-0.021303241718739208,-0.021533430825941835,0.05157568564736059,511.4899999999998,381.6892857142856,0.44341158810420783
2020-02-18 00:00:00+00:00,9706.0,10250.0,9576.01,10164.71,70604.124019,696870122.812608,723413,37303.996326,368380176.6487257,0.04726045744900054,0.04617766642322607,0.06944055223573045,673.9899999999998,411.47499999999985,0.45801179777692175
2020-02-19 00:00:00+00:00,10164.78,10250.0,9350.0,9593.79,55162.586895,547679966.9292257,588760,25457.91648,253188749.12823528,-0.0561668753953628,-0.057805903246363144,0.0885416307991079,900.0,435.24428571428547,0.5046456526492283
