datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1bar,logret_1bar,range,true_range,atr_14,vol_30,ret_1d,logret_1d
2018-06-03 00:00:00+00:00,0.64285,0.69101,0.63862,0.6901,37142715.53,24486265.639337,34763,21732634.39,14319099.9793306,0.07376806858672147,0.0711740217293182,0.08151674991053237,0.05239000000000005,0.047099999999999996,0.9433480937895314,0.07376806858672147,0.0711740217293182
2018-06-04 00:00:00+00:00,0.6901,0.707,0.6351,0.65507,48289982.65,32100617.0883567,51519,25998134.35,17279792.4946701,-0.05076075931024493,-0.05209441447251267,0.10418779886972897,0.07189999999999996,0.04949714285714286,0.9518340925541153,-0.05076075931024493,-0.05209441447251267
2018-06-05 00:00:00+00:00,0.65508,0.686,0.6328,0.67464,42509387.77,28070582.1314106,39571,24818974.98,16389459.145474,0.029874669882608007,0.02943711511234265,0.08121269482650713,0.053200000000000025,0.05021357142857143,0.9538664403729464,0.029874669882608007,0.02943711511234265
2018-06-06 00:00:00+00:00,0.67507,0.6833,0.653,0.6741,34326183.79,22997564.6483558,31424,20599033.56,13805804.0412227,-0.0008004268943436754,-0.0008007474069929299,0.04491284240483812,0.030299999999999994,0.04725071428571429,0.9435071821423209,-0.0008004268943436754,-0.0008007474069929299
2018-06-07 00:00:00+00:00,0.6738,0.69,0.67089,0.67756,35031819.04,23809284.7139929,28989,21586892.03,14672978.5676339,0.005132769618750865,0.005119641858787938,0.02834890965732081,0.01910999999999996,0.044056428571428566,0.9422647247931933,0.005132769618750865,0.005119641858787938
2018-06-08 00:00:00+00:00,0.6777,0.68,0.65832,0.6721,32089604.02,21502857.3219476,22990,18737083.13,12559804.2806458,-0.008058326937835814,-0.00809097074226095,0.031997166302615315,0.021680000000000033,0.04270857142857143,0.9416539914454503,-0.008058326937835814,-0.00809097074226095
2018-06-09 00:00:00+00:00,0.67211,0.68,0.65514,0.6574,31323211.84,20988079.8735296,19776,18206205.9,12208798.9750629,-0.021871745276000665,-0.02211447774580122,0.03698854337152225,0.024860000000000104,0.04245071428571429,0.920978180636189,-0.021871745276000665,-0.02211447774580122
2018-06-10 00:00:00+00:00,0.65687,0.6585,0.55,0.58201,47688606.63,28984633.4576875,45053,25100135.37,15278981.5989341,-0.11467903863705498,-0.12180503151570804,0.16504411317310608,0.10849999999999993,0.04656142857142857,0.9500410280318345,-0.11467903863705498,-0.12180503151570804
2018-06-11 00:00:00+00:00,0.58202,0.6,0.56,0.59989,23744329.91,13711198.2992459,26713,13867760.56,8009105.2312261,0.030721121630212567,0.030258675360792298,0.06872734145461405,0.039999999999999925,0.04472571428571428,0.9558648739407164,0.030721121630212567,0.030258675360792298
2018-06-12 00:00:00+00:00,0.59901,0.5991,0.5415,0.5556,29332950.65,16778215.9525018,27017,15424402.47,8815958.8770461,-0.07383020220373748,-0.0766976941950146,0.0960176032272583,0.05839000000000005,0.04416928571428571,0.9535362376070406,-0.07383020220373748,-0.0766976941950146
2018-06-13 00:00:00+00:00,0.5556,0.56124,0.50401,0.52862,36877773.15,19678707.3890784,30883,20602550.49,11010929.2816884,-0.048560115190784736,-0.049778773633095574,0.10300575953923687,0.05723,0.045043571428571426,0.9639039546910593,-0.048560115190784736,-0.049778773633095574
2018-06-14 00:00:00+00:00,0.52863,0.569,0.51934,0.55769,35000456.5,19168374.218116,28822,20510351.5,11228402.011232,0.05499224395596092,0.05353341520049493,0.09394271877719332,0.049659999999999926,0.046143571428571416,0.9763204174554267,0.05499224395596092,0.05353341520049493
2018-06-15 00:00:00+00:00,0.55765,0.55927,0.52447,0.53258,25702497.7,14014574.412175,21219,15663637.3,8541662.411823,-0.04502501389660918,-0.046070131406332315,0.06240025820796509,0.03480000000000005,0.04706642857142857,0.9793473276184547,-0.04502501389660918,-0.046070131406332315
2018-06-16 00:00:00+00:00,0.53224,0.5385,0.51733,0.53275,26240580.6,13928650.364901,19238,16056639.0,8527625.744733,0.0003192008712304961,0.0003191499374707307,0.03974989672912994,0.021170000000000022,0.04594214285714286,0.9561527976079298,0.0003192008712304961,0.0003191499374707307
2018-06-17 00:00:00+00:00,0.53232,0.5437,0.51999,0.52617,33461820.8,17731742.407787,18128,18034481.0,9558256.288054,-0.012351008916001716,-0.012427916540570183,0.044504927264195235,0.02371000000000001,0.04389357142857143,0.9479952376759079,-0.012351008916001716,-0.012427916540570183
2018-06-18 00:00:00+00:00,0.52669,0.5535,0.50818,0.5387,33893328.6,17838659.679919,25331,20603533.7,10841629.76694,0.0238135963661934,0.023534475248331743,0.08613185852481142,0.04532000000000003,0.041995000000000005,0.9541514348671392,0.0238135963661934,0.023534475248331743
2018-06-19 00:00:00+00:00,0.53835,0.56185,0.5207,0.54834,28857265.3,15666561.302406,20714,16365493.6,8893886.674231,0.01789493224429206,0.01773670282567741,0.07638759977724134,0.04114999999999991,0.041134285714285714,0.9445886378425095,0.01789493224429206,0.01773670282567741
2018-06-20 00:00:00+00:00,0.54833,0.55188,0.52065,0.53916,34683099.0,18569764.370552,23483,20711928.9,11101717.948877,-0.016741437794069558,-0.016883159642096524,0.05695371484845185,0.03123000000000009,0.04120071428571429,0.9405216986735588,-0.016741437794069558,-0.016883159642096524
2018-06-21 00:00:00+00:00,0.53919,0.549,0.52899,0.53457,29891909.8,16084409.984671,19507,19276600.6,10369959.259792,-0.00851324282216781,-0.008549687462635847,0.037113287335855935,0.020010000000000083,0.04126500000000001,0.922931219882613,-0.00851324282216781,-0.008549687462635847
2018-06-22 00:00:00+00:00,0.5342,0.53506,0.46859,0.48216,41843180.71,21054452.0977786,31757,22942765.47,11565072.4841051,-0.09804141646557052,-0.10318667623264444,0.12434292983145327,0.06646999999999997,0.04446428571428572,0.9509843834161513,-0.09804141646557052,-0.10318667623264444
2018-06-23 00:00:00+00:00,0.48287,0.49909,0.47333,0.49005,27230808.7,13211906.742514,18211,17097902.7,8295627.461121,0.016363862618218095,0.01623141754040025,0.05342624854819978,0.025760000000000005,0.044528571428571424,0.923927188798664,0.016363862618218095,0.01623141754040025
2018-06-24 00:00:00+00:00,0.48963,0.51,0.43724,0.47331,41451907.36,19228982.693618,32181,24177040.42,11231760.881433,-0.034159779614325037,-0.03475686177771664,0.1484746454443424,0.07275999999999999,0.04197571428571429,0.9226193536018075,-0.034159779614325037,-0.03475686177771664
2018-06-25 00:00:00+00:00,0.47418,0.4992,0.47123,0.48125,31726495.2,15210518.564136,21583,19582746.5,9388230.827206,0.016775474847351646,0.01663632066452181,0.0590944624030762,0.027969999999999995,0.041116428571428575,0.9252009203489644,0.016775474847351646,0.01663632066452181
2018-06-26 00:00:00+00:00,0.48125,0.48241,0.4511,0.453,17670678.0,8310814.136168,12386,10125106.1,4766770.133809,-0.0587012987012987,-0.060494760118959934,0.06505974025974026,0.031310000000000004,0.03918214285714287,0.9428682403934998,-0.0587012987012987,-0.060494760118959934
2018-06-27 00:00:00+00:00,0.45218,0.47518,0.44787,0.4701,29671588.2,13726173.831504,17841,17697213.7,8189649.829659,0.03774834437086083,0.0370533125470508,0.060286975717439295,0.02731,0.03704500000000001,0.9024043164194616,0.03774834437086083,0.0370533125470508
2018-06-28 00:00:00+00:00,0.47042,0.47396,0.442,0.44575,35784353.9,16443331.069985,19786,20239951.2,9318276.359917,-0.051797489895766935,-0.053187181286835195,0.06798553499255475,0.03195999999999999,0.03578071428571429,0.8399124236270301,-0.051797489895766935,-0.053187181286835195
2018-06-29 00:00:00+00:00,0.4463,0.46124,0.42393,0.45321,37535516.8,16486127.909613,24570,21585798.4,9478605.773986,0.016735838474481346,0.016597337480493524,0.08370162647223783,0.03731000000000001,0.035960000000000006,0.8437995748317748,0.016735838474481346,0.016597337480493524
2018-06-30 00:00:00+00:00,0.45346,0.48318,0.45312,0.46796,37495051.8,17496283.246416,22107,21807780.6,10181290.398745,0.03254561902870634,0.03202722795565749,0.06632686833918046,0.030059999999999976,0.036595,0.8515933538820472,0.03254561902870634,0.03202722795565749
2018-07-01 00:00:00+00:00,0.46797,0.46989,0.45007,0.46222,31676174.1,14527131.724696,16731,18318221.9,8406621.938793,-0.012266005641507705,-0.012341853964175753,0.042354047354474636,0.01981999999999995,0.03631714285714286,0.847111364488978,-0.012266005641507705,-0.012341853964175753
2018-07-02 00:00:00+00:00,0.46222,0.4954,0.452,0.4899,39873781.8,18861835.883111,24340,23606073.3,11171729.493479,0.05988490329280416,0.05816032042930419,0.09389468218597204,0.043399999999999994,0.03618,0.868092720898118,0.05988490329280416,0.05816032042930419
2018-07-03 00:00:00+00:00,0.48913,0.52,0.47801,0.4844,44333181.6,22062745.014106,28822,25727690.8,12797155.682281,-0.011226780975709283,-0.011290276965591928,0.08571136966727909,0.04199000000000003,0.03624,0.8164331538521007,-0.011226780975709283,-0.011290276965591928
2018-07-04 00:00:00+00:00,0.48469,0.508,0.47941,0.49097,26722886.3,13200046.150371,16907,14314761.4,7074668.345457,0.013563170933113211,0.013472014452580838,0.05902146985962016,0.028590000000000004,0.036051428571428575,0.8076081264074033,0.013563170933113211,0.013472014452580838
