datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1bar,logret_1bar,range,true_range,atr_14,vol_30,ret_1d,logret_1d
2017-09-16 00:00:00+00:00,3674.01,3950.0,3470.66,3714.95,1297.563953,4804878.24721283,8809,624.887842,2314536.03271908,0.004040540540540594,0.004032399478768767,0.1295513513513514,479.34000000000015,524.095,1.1514162704738398,0.004040540540540594,0.004032399478768767
2017-09-17 00:00:00+00:00,3685.23,3748.21,3499.02,3699.99,682.17121,2466490.27859466,6355,273.931976,994843.63045949,-0.00402697209922076,-0.004035102185124373,0.06707761881048199,249.19000000000005,512.1492857142857,1.1431207750440495,-0.00402697209922076,-0.004035102185124373
2017-09-18 00:00:00+00:00,3690.0,4123.2,3690.0,4035.01,1030.006455,4069033.05715863,8220,417.638722,1651863.37125876,0.09054619066538039,0.08667866308976357,0.11708139751729055,433.1999999999998,503.45071428571424,1.1873576721560353,0.09054619066538039,0.08667866308976357
2017-09-19 00:00:00+00:00,4060.0,4089.97,3830.91,3910.04,902.332129,3558315.19743872,7342,257.320352,1016803.88177532,-0.030971422623487954,-0.03146117590961239,0.06420306269377274,259.05999999999995,458.9557142857143,1.191689262098537,-0.030971422623487954,-0.03146117590961239
2017-09-20 00:00:00+00:00,3910.04,4046.08,3820.0,3900.0,720.935076,2839584.45308804,7231,395.275138,1562210.14983916,-0.002567748667532843,-0.0025710509883740684,0.05782038035416516,226.07999999999993,451.7035714285715,1.1900501253530091,-0.002567748667532843,-0.0025710509883740684
2017-09-21 00:00:00+00:00,3889.99,3910.0,3567.0,3609.99,1001.654084,3757043.07821264,8714,517.258926,1946238.63873747,-0.07436153846153848,-0.07727155087775017,0.08794871794871795,343.0,451.17500000000007,1.218439790112579,-0.07436153846153848,-0.07727155087775017
2017-09-22 00:00:00+00:00,3592.84,3750.0,3505.55,3595.87,838.966425,3031771.43292849,8152,511.059869,1848104.61254174,-0.003911368175535057,-0.003919037581148643,0.06771486901625762,244.44999999999982,418.1742857142857,1.2163034530904704,-0.003911368175535057,-0.003919037581148643
2017-09-23 00:00:00+00:00,3595.88,3817.19,3542.91,3780.0,752.792791,2799706.99951511,8402,431.94671,1608679.14327472,0.051205966845297546,0.04993804495479459,0.07627639486410805,274.2800000000002,418.01142857142855,1.2174484694181262,0.051205966845297546,0.04993804495479459
2017-09-24 00:00:00+00:00,3779.54,3789.99,3622.76,3660.02,661.63639,2445788.43620041,8724,290.93917,1077964.32638088,-0.031740740740740736,-0.03225539775227659,0.04424074074074062,167.22999999999956,395.5278571428571,1.2216247565710534,-0.031740740740740736,-0.03225539775227659
2017-09-25 00:00:00+00:00,3660.02,3979.87,3653.69,3920.75,727.994713,2784170.85318322,9740,298.839159,1144089.17964881,0.07123731564308389,0.06881435015317727,0.08911973158616615,326.17999999999984,402.0035714285714,1.2478989041563664,0.07123731564308389,0.06881435015317727
2017-09-26 00:00:00+00:00,3928.0,3976.99,3850.05,3882.35,526.727987,2061195.57868009,7971,225.570283,883925.0185633,-0.009794044506790778,-0.00984232163823151,0.03237645858572967,126.9399999999996,385.7999999999999,1.2481353787544214,-0.009794044506790778,-0.00984232163823151
2017-09-27 00:00:00+00:00,3882.36,4249.94,3872.81,4193.0,628.170966,2554629.81447101,8373,348.083641,1418522.03112125,0.08001596970906788,0.07697582779445966,0.09713961904516585,377.12999999999965,383.7821428571428,1.2786504651493478,0.08001596970906788,0.07697582779445966
2017-09-28 00:00:00+00:00,4192.11,4300.0,4101.0,4174.5,849.785325,3553178.87037354,11426,364.517452,1525467.35780567,-0.004412115430479369,-0.004421877536707086,0.04746005246839971,199.0,338.862857142857,1.2683329625975321,-0.004412115430479369,-0.004421877536707086
2017-09-29 00:00:00+00:00,4178.98,4263.86,3952.01,4174.69,1602.309565,6571746.35900076,14834,660.408235,2706153.81551434,4.5514432866156085e-05,4.551339711689195e-05,0.07470355731225284,311.84999999999945,286.9235714285713,1.2681455134655502,4.5514432866156085e-05,4.551339711689195e-05
2017-09-30 00:00:00+00:00,4175.0,4380.0,4138.1,4378.51,720.353183,3088354.40084536,9324,292.966693,1258540.22252994,0.04882278684165775,0.04766837981567562,0.05794442222057199,241.89999999999964,269.96357142857124,1.2731337232425675,0.04882278684165775,0.04766837981567562
2017-10-01 00:00:00+00:00,4378.49,4406.52,4240.04,4378.48,726.963685,3137143.89184457,9816,291.975904,1263465.86667018,-6.851645879657475e-06,-6.851669352769818e-06,0.038022066867496124,166.48000000000047,264.05571428571415,1.2702835767371918,-6.851645879657475e-06,-6.851669352769818e-06
2017-10-02 00:00:00+00:00,4400.0,4561.63,4360.0,4380.0,655.756974,2905282.77570845,8185,289.541406,1286786.89051625,0.0003471524364619949,0.0003470921929977777,0.04605022747620181,201.6300000000001,247.51499999999987,1.241971402527101,0.0003471524364619949,0.0003470921929977777
2017-10-03 00:00:00+00:00,4380.0,4467.33,4180.8,4310.0,1082.323563,4627422.74283879,12379,492.735181,2107462.11039911,-0.01598173515981738,-0.016110820272698945,0.06541780821917803,286.52999999999975,249.47714285714272,1.2431639399162544,-0.01598173515981738,-0.016110820272698945
2017-10-04 00:00:00+00:00,4314.9,4373.0,4142.0,4208.59,868.465101,3676415.10054891,11006,292.928777,1237552.36930596,-0.02352900232018562,-0.02381022938315347,0.05359628770301624,231.0,249.82857142857128,1.2024943121487996,-0.02352900232018562,-0.02381022938315347
